date_publication,total
04/11/2021,357
03/11/2021,217
31/10/2021,155
02/11/2021,24
01/11/2021,25
30/10/2021,229
29/10/2021,99
27/10/2021,62
23/10/2021,34
20/10/2021,26
26/10/2021,2
28/10/2021,28
13/10/2021,10
08/10/2021,5
17/10/2021,8
24/10/2021,20
15/10/2021,3
14/10/2021,3
22/10/2021,2
10/10/2021,3
07/10/2021,1
19/10/2021,1
05/10/2021,6
09/10/2021,3
16/10/2021,11
09/11/2021,17
10/11/2021,212
12/11/2021,260
11/11/2021,194
07/11/2021,157
06/11/2021,42
08/11/2021,18
05/11/2021,45
18/10/2021,1
29/11/2021,47
28/11/2021,239
27/11/2021,219
26/11/2021,256
25/11/2021,165
24/11/2021,110
21/11/2021,26
19/11/2021,24
18/11/2021,23
23/11/2021,9
14/11/2021,15
22/11/2021,3
16/11/2021,3
20/11/2021,3
17/11/2021,20
13/11/2021,11
01/12/2021,160
03/12/2021,192
02/12/2021,176
30/11/2021,8
15/11/2021,1
09/12/2021,227
08/12/2021,173
07/12/2021,14
04/12/2021,145
05/12/2021,144
06/12/2021,27
18/12/2021,289
17/12/2021,258
16/12/2021,236
15/12/2021,187
12/12/2021,50
11/12/2021,21
10/12/2021,29
13/12/2021,34
14/12/2021,14
27/12/2021,23
28/12/2021,31
26/12/2021,150
25/12/2021,203
24/12/2021,143
23/12/2021,114
22/12/2021,89
19/12/2021,58
20/12/2021,1
03/01/2022,25
02/01/2022,114
01/01/2022,117
31/12/2021,108
30/12/2021,140
29/12/2021,107
12/01/2022,298
11/01/2022,26
08/01/2022,144
10/01/2022,34
09/01/2022,165
07/01/2022,138
06/01/2022,70
05/01/2022,28
04/01/2022,1
18/01/2022,35
17/01/2022,106
15/01/2022,169
14/01/2022,208
16/01/2022,189
13/01/2022,56
25/01/2022,27
23/01/2022,217
24/01/2022,196
22/01/2022,188
20/01/2022,73
21/01/2022,131
19/01/2022,30
30/01/2022,167
27/01/2022,42
31/01/2022,42
29/01/2022,202
28/01/2022,174
26/01/2022,33
08/02/2022,30
10/02/2022,266
09/02/2022,206
06/02/2022,120
05/02/2022,76
03/02/2022,35
07/02/2022,33
02/02/2022,41
04/02/2022,23
02/03/2022,247
01/03/2022,57
28/02/2022,57
25/02/2022,84
27/02/2022,170
24/02/2022,24
26/02/2022,152
23/02/2022,23
19/02/2022,14
16/02/2022,5
20/02/2022,35
17/02/2022,10
18/02/2022,10
12/02/2022,4
21/02/2022,4
13/02/2022,2
11/02/2022,1
06/03/2022,314
05/03/2022,220
03/03/2022,276
04/03/2022,261
15/02/2022,1
22/02/2022,1
16/03/2022,221
15/03/2022,19
12/03/2022,134
14/03/2022,42
13/03/2022,198
11/03/2022,47
10/03/2022,29
09/03/2022,35
08/03/2022,8
25/03/2022,196
24/03/2022,204
23/03/2022,182
19/03/2022,24
20/03/2022,78
18/03/2022,32
21/03/2022,35
17/03/2022,28
22/03/2022,14
